,traceID,spanID,flags,operationName,startTime,duration,logs,processID,warnings,service,parent,sampler.type,sampler.param,http.url,load_generator.seq_num,region,http.method,version,internal.span.format,http.status_code,error,root_cause_error,starter,abandoned-calm-abra,adventurous-modest-absol,absolute-calm-ariados,absolute-calm-abomasnow,absolute-calm-accelgor,absolute-adamant-amoonguss,admirable-sassy-bagon,acclaimed-bold-absol,absolute-impish-accelgor,adored-sassy-accelgor,absolute-sassy-accelgor,aggressive-sassy-amoonguss,active-sassy-axew,able-hardy-absol,aggressive-sassy-barboach,adored-sassy-anorith,acrobatic-careful-aegislash,acrobatic-sassy-ariados,absolute-calm-alomomola,admirable-bashful-ampharos,aggressive-sassy-aurorus,affectionate-sassy-azumarill,acrobatic-sassy-aurorus,adventurous-modest-amoonguss,aggressive-sassy-aron,acceptable-hardy-arcanine,absolute-calm-aerodactyl,alert-sassy-archeops,abandoned-calm-abomasnow,acidic-hasty-ambipom,adorable-gentle-accelgor,affectionate-sassy-anorith,actual-sassy-ampharos,ample-sassy-beautifly,acceptable-hardy-aipom,advanced-sassy-arcanine,active-sassy-aegislash,agreeable-sassy-ambipom,actual-sassy-bagon,admirable-sassy-arcanine,academic-lax-aggron,absolute-sassy-amoonguss,absolute-brave-accelgor,absolute-calm-abra,actual-lax-anorith,absolute-sassy-beldum,angelic-sassy-arcanine,absolute-sassy-arcanine
0,a18000c714b614a4,a18000c714b614a4,1,/shipping,1622048482895000,423000,[],p1,,shippingservice,,const,True,http://frontend/shipping,1454,us-west-1,GET,v125,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,a18000c714b614a4,b4eb0ecb945432cd,1,/Address,1622048483059000,61000,[],p2,,shippingservice,c52d4a30e59a9a64,,,http://shippingservice/Address,1459,us-east-1,GET,v127,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,a18000c714b614a4,c52d4a30e59a9a64,1,/GetQuote,1622048482928000,381000,[],p2,,shippingservice,a18000c714b614a4,,,http://shippingservice/GetQuote,1457,us-east-1,GET,v127,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,523450dc6005d6d1,523450dc6005d6d1,1,/checkout,1622048520396000,2084000,[],p1,,shippingservice,,const,True,http://frontend/checkout,2268,us-east-1,GET,v125,jaeger,503.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,523450dc6005d6d1,1e60aca5a5f98966,1,/PlaceOrder,1622048521064000,740000,[],p2,,shippingservice,523450dc6005d6d1,,,http://checkoutservice/PlaceOrder,2269,us-east-1,GET,v37,jaeger,503.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,523450dc6005d6d1,05030b6b4cfb4405,1,/Money,1622048521448000,2000,[],p3,,shippingservice,74c03eefddaaba0c,,,http://currencyservice/Money,2273,us-east-1,GET,v27,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,523450dc6005d6d1,74c03eefddaaba0c,1,/GetConversion,1622048521395000,147000,[],p3,,shippingservice,1e60aca5a5f98966,,,http://currencyservice/GetConversion,2272,us-east-1,GET,v27,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,523450dc6005d6d1,1300945672f44c54,1,/GetCart,1622048521365000,165000,[],p4,,shippingservice,1e60aca5a5f98966,,,http://cartservice/GetCart,2274,us-east-1,GET,v5,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,523450dc6005d6d1,19b2b9d601f63677,1,/CreditCardInfo,1622048521534000,40000,[],p5,,shippingservice,1e60aca5a5f98966,,,http://paymentservice/CreditCardInfo,2270,us-east-1,GET,v177,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,523450dc6005d6d1,b90ddfd4b41e8a43,1,/Address,1622048521132000,56000,[],p6,,shippingservice,1e60aca5a5f98966,,,http://shippingservice/Address,2271,us-east-1,GET,v127,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,523450dc6005d6d1,12e7a090f2fa9a45,1,/SendOrderConfirmation,1622048521114000,115000,[],p7,,shippingservice,1e60aca5a5f98966,,,http://emailservice/SendOrderConfirmation,2275,us-east-1,GET,v27,jaeger,503.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,d2d1fc1e1377587e,d2d1fc1e1377587e,1,/checkout,1622048497894000,1939000,[],p1,,shippingservice,,const,True,http://frontend/checkout,1775,us-west-1,GET,v125,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,d2d1fc1e1377587e,97e48b360108aae0,1,/Money,1622048498336000,55000,[],p2,,shippingservice,ba148f36ab76cc62,,,http://currencyservice/Money,1789,us-east-1,GET,v27,jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
